Date,Open,High,Low,Close,Volume
2012-01-03,325.25,332.83,324.97,330.55,7380500
2012-01-04,331.27,333.87,329.08,331.98,5749400
2012-01-05,329.83,330.75,326.89,327.38,6590300
2012-01-06,328.34,328.77,323.68,322.91,5405900
2012-01-09,322.04,322.29,309.46,309.22,11688800
2012-01-10,313.7,315.72,307.3,309.55,8824000
2012-01-11,310.59,313.52,309.4,310.96,4817800
2012-01-12,314.43,315.26,312.08,312.79,3764400
2012-01-13,311.96,312.3,309.37,310.48,4631800
2012-01-17,314.81,314.81,311.67,312.26,3832800
2012-01-18,312.14,315.82,309.9,314.41,5544000
2012-01-19,319.3,319.3,314.55,317.72,12657800
2012-01-20,294.16,294.4,289.76,291.1,21231800
2012-01-23,291.91,293.23,290.49,290.87,6851300
2012-01-24,292.07,292.74,287.92,288.59,6134400
2012-01-25,287.68,288.27,282.13,282.9,10012700
2012-01-26,284.92,286.17,281.22,282.22,6476500
2012-01-27,284.32,289.08,283.6,288.12,7262000
2012-01-30,287.95,288.92,285.63,286.98,4678400
2012-01-31,290.41,290.91,286.5,288.18,4300700
2012-02-01,291.38,291.66,288.49,288.54,4658700
2012-02-02,291.34,292.11,289.95,290.66,4847400
2012-02-03,294.23,297.42,292.93,296.24,6360700
2012-02-06,296.39,304.27,295.9,302.58,7386700
2012-02-07,302.44,303.56,300.75,301.42,4199700
2012-02-08,303.18,304.53,301.24,302.96,3686400
2012-02-09,304.87,306.1,303.36,303.76,4546300
2012-02-10,302.81,302.93,300.87,300.99,4667700
2012-02-13,304.11,305.77,303.87,304.13,3646100
2012-02-14,304.63,304.86,301.25,302.91,3620900
2012-02-15,305.32,305.32,300.15,300.82,4869900
2012-02-16,300.28,303.27,297.75,301.3,5080700
2012-02-17,301.36,302.68,300.08,300.37,4916400
2012-02-21,300.81,307.79,300.31,305.01,4980100
2012-02-22,304.84,307.24,302.22,302.01,3948700
2012-02-23,302.37,302.83,299.05,301.09,4125300
2012-02-24,302.54,304.68,301.62,302.98,3885600
2012-02-27,302.16,305.04,301.4,302.69,3641300
2012-02-28,303.86,308.73,302.71,307.2,5716400
2012-02-29,308.14,311.63,306.6,307.13,6297200
2012-03-01,309.97,311.68,307.92,309.19,4492000
2012-03-02,309.84,310.83,309.0,308.62,3158300
2012-03-05,309.06,310.08,304.55,305.14,3198400
2012-03-06,302.89,303.27,295.81,300.52,6372500
2012-03-07,303.39,304.45,301.8,301.44,2538400
2012-03-08,303.88,304.61,302.04,301.61,2700900
2012-03-09,302.84,304.81,298.88,298.19,5361100
2012-03-12,298.88,302.37,298.51,300.61,3350400
2012-03-13,303.24,307.77,301.64,306.9,4508300
2012-03-14,306.35,310.23,305.58,306.0,5895700
2012-03-15,307.15,310.59,306.27,308.56,4888300
2012-03-16,309.29,311.79,308.87,310.5,6123800
2012-03-19,310.4,317.45,309.46,314.94,4361800
2012-03-20,314.28,316.84,312.46,314.7,3092400
2012-03-21,316.12,322.49,315.07,317.93,4957600
2012-03-22,318.06,323.19,314.32,320.94,4838400
2012-03-23,322.09,323.04,319.25,319.21,3894800
2012-03-26,321.3,323.53,318.58,322.56,3651900
2012-03-27,322.31,325.53,321.2,321.42,4029400
2012-03-28,324.8,328.07,324.32,325.76,5096700
2012-03-29,325.5,327.07,320.95,322.11,3862900
2012-03-30,324.66,325.52,319.3,318.55,4638700
2012-04-02,319.19,322.54,316.23,321.37,4585400
2012-04-03,321.5,322.77,318.13,319.23,4105000
2012-04-04,318.03,318.31,314.37,315.52,3267300
2012-04-05,314.94,317.03,313.11,314.12,4654700
2012-04-09,313.07,316.48,311.48,313.38,4381600
2012-04-10,315.58,316.07,311.11,311.41,4982500
2012-04-11,315.8,316.81,314.47,315.92,4414300
2012-04-12,319.98,325.35,318.93,323.4,11556300
2012-04-13,322.57,323.28,310.61,310.28,16379700
2012-04-16,310.34,310.74,299.71,301.07,11426700
2012-04-17,303.14,307.69,302.37,302.82,6070400
2012-04-18,302.89,305.26,300.28,301.76,5358900
2012-04-19,301.71,306.98,298.38,297.71,6613800
2012-04-20,301.0,303.29,296.8,296.11,6139700
2012-04-23,295.34,298.11,294.0,296.86,4411900
2012-04-24,298.0,302.18,297.54,298.69,3872600
2012-04-25,300.87,304.53,300.31,302.89,3655800
2012-04-26,304.31,307.85,303.71,305.74,4200600
2012-04-27,306.36,307.22,304.16,305.5,3284900
2012-04-30,305.35,306.89,299.18,300.47,4832600
2012-05-01,300.77,304.66,298.97,300.27,4019600
2012-05-02,299.48,302.92,299.18,301.67,3235000
2012-05-03,303.67,306.27,303.34,303.54,3749900
2012-05-04,301.83,302.81,297.29,296.56,4431300
2012-05-07,296.39,304.14,296.39,301.81,4003800
2012-05-08,301.63,307.3,299.23,304.41,5374600
2012-05-09,302.28,307.04,299.78,302.61,4675000
2012-05-10,305.34,306.94,303.98,304.84,3083200
2012-05-11,304.04,306.13,301.26,300.65,4214400
2012-05-14,299.27,303.11,299.17,300.05,3662400
2012-05-15,301.54,306.35,300.75,303.59,4219900
2012-05-16,307.83,313.87,306.82,312.43,9706300
2012-05-17,315.73,317.73,309.46,309.51,6732700
2012-05-18,311.38,315.03,297.24,298.26,11991700
2012-05-21,299.13,306.7,298.88,305.07,6173800
2012-05-22,305.57,305.76,296.89,298.46,6126600
2012-05-23,299.7,303.66,297.45,302.76,6379900
2012-05-24,303.44,304.82,298.32,299.88,3796600
2012-05-25,299.38,299.74,293.04,293.85,7190500
2012-05-29,296.79,298.45,293.06,295.25,5230900
2012-05-30,292.98,294.84,290.68,292.22,3827600
2012-05-31,293.26,293.9,288.42,288.56,5958800
2012-06-01,284.83,285.26,283.11,283.65,6138700
2012-06-04,284.05,289.16,283.94,287.43,4883500
2012-06-05,286.65,287.99,282.18,283.36,4697200
2012-06-06,287.16,289.9,285.73,288.41,4207200
2012-06-07,292.7,292.85,287.55,287.25,3530100
2012-06-08,286.85,289.42,286.22,288.35,2831300
2012-06-11,291.01,291.57,282.29,282.41,5342100
2012-06-12,283.82,284.09,278.25,280.72,6472500
2012-06-13,279.81,282.44,278.3,278.73,3923000
2012-06-14,279.6,281.48,277.22,277.72,4707200
2012-06-15,279.12,281.21,277.5,280.43,6024800
2012-06-18,280.26,286.03,278.58,283.58,5012400
2012-06-19,285.72,291.05,285.49,288.89,4167900
2012-06-20,288.82,288.92,285.68,286.89,4710800
2012-06-21,288.84,288.84,280.81,280.78,4037600
2012-06-22,282.94,284.67,281.85,283.9,4472400
2012-06-25,282.61,282.98,277.63,278.54,3174900
2012-06-26,280.33,282.24,278.7,280.51,2710500
2012-06-27,282.79,285.92,281.95,282.81,3397200
2012-06-28,281.89,282.06,277.56,280.33,3856100
2012-06-29,286.41,288.98,285.03,288.16,5057800
2012-07-02,289.82,290.41,287.17,288.36,3323300
2012-07-03,288.92,293.11,287.92,292.02,2387800
2012-07-05,293.28,298.91,293.17,296.04,4709200
2012-07-06,295.12,295.65,290.32,291.1,4339700
2012-07-09,291.38,293.2,289.54,291.11,3443000
2012-07-10,293.99,295.11,288.29,288.98,3860500
2012-07-11,287.07,287.85,281.42,283.75,7024700
2012-07-12,282.5,284.9,280.0,283.4,4636800
